Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
29-JAN-2025,1552.15,1587.5,1549.4,1585.4,38805718,334.52
30-JAN-2025,1591.85,1599.85,1558.85,1566.15,30346035,258.68
31-JAN-2025,1568.1,1586,1562.05,1580.25,29747959,250.04
01-FEB-2025,1584.25,1621.7,1556.95,1615.1,29168425,250.11
03-FEB-2025,1602.95,1612.9,1580.7,1609.8,32883402,681.79
04-FEB-2025,1612.25,1625.2,1606.45,1621.65,26604672,289.55
05-FEB-2025,1623.95,1659.9,1623.95,1650.75,22648027,303.34
06-FEB-2025,1652.65,1662.85,1625.85,1638.35,20221467,320.27
07-FEB-2025,1641.7,1647.75,1603.65,1621.75,41656780,436.78
10-FEB-2025,1604.45,1622.1,1574.3,1583.1,29218806,514.62
11-FEB-2025,1579.4,1582.7,1530.35,1537.95,27012438,342.37
12-FEB-2025,1544.05,1550.7,1491.45,1537.05,43474653,414.94
13-FEB-2025,1537.75,1564.85,1535.3,1544.6,20363249,201.8
14-FEB-2025,1549.1,1551.5,1482.4,1492.15,28340697,307.79
17-FEB-2025,1486.25,1500.05,1460.9,1481.6,40938205,300.94
18-FEB-2025,1481.35,1491.6,1456.9,1472.65,36209919,341.09
19-FEB-2025,1467.3,1506.8,1460.45,1493.7,63475212,271.45
20-FEB-2025,1490.55,1512.25,1482.9,1510.1,27770870,179.5
21-FEB-2025,1509.85,1525.95,1485.45,1492.4,32230369,215.52
24-FEB-2025,1479.65,1488.55,1462,1477.75,36904595,221.78
25-FEB-2025,1478.2,1504.85,1476.05,1490.15,31769414,361.71
27-FEB-2025,1491.3,1496.05,1428.25,1436.85,30365476,432.06
28-FEB-2025,1422.7,1428.2,1373.55,1386.85,42194850,354.86
03-MAR-2025,1391.95,1402.1,1344.4,1371.55,46262873,330.65
04-MAR-2025,1362.35,1408.8,1348,1404.05,47690767,321.39
05-MAR-2025,1400.8,1452.55,1400.75,1448.1,50582266,349.47
06-MAR-2025,1458.4,1477.15,1457.85,1462.2,32819490,278.38
07-MAR-2025,1463.55,1503.75,1459.3,1488.95,55136637,390.49
10-MAR-2025,1488.8,1507.95,1478.35,1485.15,66152421,480.99
11-MAR-2025,1469.8,1488.4,1458.25,1482.45,41624761,322.94
12-MAR-2025,1488.2,1495.4,1449.4,1459.75,42115268,207.34
13-MAR-2025,1462.45,1468.85,1433.9,1437.8,48739385,239.3
17-MAR-2025,1438.9,1446.1,1424.4,1428.5,36008083,215.1
18-MAR-2025,1439.75,1485.45,1436.4,1480.15,50638916,373.13
19-MAR-2025,1485.55,1509.15,1482.5,1496.15,48371233,363.4
20-MAR-2025,1512.1,1542.25,1510.4,1514.45,68135014,480.56
21-MAR-2025,1517.15,1553.5,1514,1547.7,110650868,630.86
24-MAR-2025,1561.25,1576.4,1544.6,1548.7,48082584,318.36
25-MAR-2025,1557.3,1561.05,1516.05,1524,72134350,321.49
26-MAR-2025,1522.45,1533.9,1483.4,1487.35,53393583,269
27-MAR-2025,1486.15,1516.65,1480.95,1509.9,74971258,393.05
28-MAR-2025,1513.55,1525.35,1469.65,1475.25,60419014,287.64
01-APR-2025,1474.3,1512,1473.5,1508.3,45198715,295.79
02-APR-2025,1507.1,1523.95,1484.9,1517.55,33317636,196.49
03-APR-2025,1499.1,1547.05,1495.45,1534.1,45099810,286.59
04-APR-2025,1531.2,1540.45,1471.8,1488.5,47038543,306.85
07-APR-2025,1365.65,1438.75,1365.55,1429.9,46215708,324.82
08-APR-2025,1457.35,1508.25,1446.95,1497.45,43643374,388.66
09-APR-2025,1492.45,1500.75,1466.95,1479.2,27157367,252.07
11-APR-2025,1509.35,1514.1,1495.95,1503.8,21624011,225.06
15-APR-2025,1520,1552,1512.7,1548.45,20933968,201.76
16-APR-2025,1546.55,1582.35,1541.35,1577.6,35144451,377.14
17-APR-2025,1576.7,1588.1,1567.9,1581.15,42673525,286.42
21-APR-2025,1584.55,1603.8,1569.35,1596.25,34286870,392.86
22-APR-2025,1601.75,1616.85,1590.3,1598.65,34540401,382.74
23-APR-2025,1609.75,1611.2,1579.2,1597.25,30741931,344.15
